FishDepth,Sdens,Wdens,SsmoothDens,WsmoothDens
-52,4.70966850419323e-05,1.48004082376459e-05,5.36408455901441e-05,1.73022034398477e-05
-53,4.06176899238266e-05,5.79607611470291e-06,5.26464466194293e-05,1.64406366260125e-05
-54,5.91191015180683e-05,1.70613688275911e-05,5.15373788611881e-05,1.58289837933248e-05
-55,5.37973470057543e-05,1.20301433573544e-05,5.01585219635025e-05,1.54040581693218e-05
-56,6.49260693186432e-05,2.3883247786117e-05,4.84146554621141e-05,1.50758957579944e-05
-57,6.37353440715823e-05,8.80308917552636e-06,4.62756994699713e-05,1.47639909046415e-05
-58,3.66031006484521e-05,1.79987202475186e-05,4.38945598136771e-05,1.44251729806849e-05
-59,2.17075513799621e-05,2.7793720905132e-05,4.15531845403205e-05,1.40071750831421e-05
-60,3.77662796723244e-05,1.23060396808962e-05,3.95082475982902e-05,1.34846275598332e-05
-61,3.49130843516433e-05,1.35148820706575e-05,3.78221114998446e-05,1.2955501513249e-05
-62,3.6535739138076e-05,1.11340559632572e-05,3.64921876615157e-05,1.25339521787821e-05
-63,4.5152978168946e-05,1.08776539402754e-05,3.55098438366212e-05,1.23334724616861e-05
-64,3.16063302883769e-05,1.62462723004299e-06,3.48724140864089e-05,1.24627986076654e-05
-65,2.88233219014143e-05,9.41113768048081e-06,3.46262597052876e-05,1.29629709532624e-05
-66,4.48562499507053e-05,5.4311221594655e-06,3.48257148069613e-05,1.38311506704715e-05
-67,2.73221254513932e-05,4.76550582283573e-06,3.55063000823918e-05,1.49599228003225e-05
-68,3.80355868073636e-05,9.00894188679155e-06,3.67051799214385e-05,1.61672178591463e-05
-69,2.61512714169665e-05,5.67232474980596e-05,3.8464140788581e-05,1.71222656889445e-05
-70,3.56028272430608e-05,3.01577862969585e-05,4.07482516280235e-05,1.76271508137723e-05
-71,4.97243729217146e-05,7.20359803304992e-06,4.34755701681108e-05,1.76086626076746e-05
-72,4.52056137594196e-05,1.95051057766361e-05,4.64758203734221e-05,1.72744545639902e-05
-73,3.49547211583261e-05,2.20938295834551e-05,4.96190672356542e-05,1.67651833059348e-05
-74,4.03835346298828e-05,9.0306932356817e-06,5.27568567673295e-05,1.62017789151368e-05
-75,7.07799929549926e-05,1.64303313733887e-05,5.55899502422941e-05,1.5755687427509e-05
-76,7.80842275216822e-05,0,5.77434525395428e-05,1.55474652201335e-05
-77,9.14228780587338e-05,2.01497473032391e-05,5.89238349813999e-05,1.56571564194406e-05
-78,6.467997864036e-05,1.07426482619354e-05,5.92035255543674e-05,1.60705093731503e-05
-79,3.07597915367322e-05,4.60978298204607e-06,5.88142318978682e-05,1.67387879615004e-05
-80,3.21756844106283e-05,2.9747152576992e-05,5.81517160689239e-05,1.75636492813836e-05
-81,6.09803820118623e-05,1.63665041184919e-05,5.72511004918056e-05,1.8411981138381e-05
-82,6.84434241930125e-05,8.87466583990144e-06,5.60138782659221e-05,1.9140435735135e-05
-83,5.09590330634154e-05,5.53681249880359e-05,5.42689866726472e-05,1.96141454488546e-05
-84,7.04472951465395e-05,1.63754711029529e-05,5.19529666455527e-05,1.97962270171882e-05
-85,5.46022905352431e-05,1.4097006455797e-05,4.90514709475713e-05,1.97141987094364e-05
-86,6.29109271018913e-05,2.61565144939763e-05,4.56632827184329e-05,1.95385687673862e-05
-87,2.99418899538575e-05,0,4.21059995914695e-05,1.94292396151751e-05
-88,4.30514435168452e-06,0,3.87033648338273e-05,1.94828714178355e-05
-89,3.87887318391499e-05,0,3.56004702218809e-05,1.95925988354677e-05
